Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
7/11/19,Debt collection,Other debt,Threatened to contact someone or share information improperly,Contacted your employer,"National Credit Management called my place of business, spouse and family members stating I had already spoken to him 3434 3434 at 3434 ext 3434, after I had already made arrangements with the debtor to pay the balance. The date has not passed but he continues to call these places after I told him this information.",Company believes it acted appropriately as authorized by contract or law,"National Collection Systems, Inc.",TX,77434,Consent provided,Web,7/11/19,Closed with explanation,Yes,N/A,3303375
7/5/19,Debt collection,I do not know,Written notification about debt,Didn't receive enough information to verify debt,,,"CAINE & WEINER COMPANY, INC.",CT,6513,N/A,Referral,7/5/19,Closed with explanation,Yes,N/A,3296862
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"3434 ; 3434 and Transunion are reporting incorrectly that I am ( 60 ) days late on the 3434 3434 account number 3434. ( Please see page attached from my credit report. ) This account reports a {$0.00} balance and {$0.00} past due. Please keep in mind that it is impossible to be late on an account that has a {$0.00} balance and {$0.00} past due. This incorrect reporting is harming my credit score and these line items need to be removed from my credit report. I have contacted the ( 3 ) bureaus to fix this however, I have not been successful.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379430
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,"I have a few situations going on with my credit file. I have had a few addresses that need updated. My name is 3434 3434 3434 My address is 3434 3434 3434 3434 OH 3434. PLEASE DELETE REMOVE THE FOLLOWING : 3434 3434 3434, 3434, OH 3434 34/34/2002 3434 3434 3434, 3434, OH 3434 3434 3434 3434 , 3434, OH 3434. 
I would like a new report sent with my information updated correctly.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,43234,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379615
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,The credit bureaus are reporting inaccurate/outdated/incomplete personal information.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379747
10/25/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I would like to request the suppression of the following items from my credit report, which are the result of my falling victim to identity theft. This information does not relate to [ transactions that I have made/accounts that I have opened ], as the attached supporting documentation can attest. As such, it should be blocked from appearing on my credit report pursuant to section 605B of the Fair Credit Reporting Act.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,,Consent provided,Web,10/25/19,Closed with explanation,Yes,N/A,3417710
4/7/20,Debt collection,Mortgage debt,Attempts to collect debt not owed,Debt was paid,"Hey, I'm a student at 3434 Tech. This debt was late but I paid it. I contact the company. Credit is very important to me, I'm an young male trying to build my business. Can I even do a Pay for and delete.",,"Hunter Warfield, Inc.",VA,24034,Consent provided,Web,4/8/20,Closed with explanation,Yes,N/A,3597159
11/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33134,Other,Web,11/24/19,Closed with explanation,Yes,N/A,3448875
7/4/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"According to the Fair Credit Reporting Act, Section 609 ( a ) ( 1 ) ( A ), you are required by federal law to verify -through the physical verification of the original signed consumer contract -any and all accounts you post on a credit report. Otherwise, anyone paying for your reporting services could fax, mail or email in a fraudulent account. 
I demand to see Verifiable Proof ( an original Consumer Contract with my Signature on it ) you have on file of the accounts listed below. Your failure to positively verify these accounts has hurt my ability to obtain credit. Under the FCRA, unverified accounts must be removed and if you are unable to provide me a copy of verifiable proof, you must remove the accounts listed below. 


3434 3434 3434 ; 3434 3434 3434 ; 3434 3434 3434 3434  3434 ; 3434 3434 3434 3434 3434 3434 3434 ; 3434 3434 ;",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92134,Consent provided,Web,7/4/19,Closed with explanation,Yes,N/A,3296094
7/4/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,RI,,Other,Web,7/4/19,Closed with explanation,Yes,N/A,3296462
9/27/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"34/34/19 3434 3434 3434 3434 3434 3434 3434 3434, GA 3434 3434 3434 3434, 3434 3434 3434 3434 3434 3434, GA 3434 To Whom It May Concern : I have obtain copies of the allege bankruptcies in my name : ( 3434 ; 3434 ) But after carefully reviewing them I notices that the signature appearing in them is not mine, I'm sending a notarize letter with my signature to verify that these items you have listed in my credit do not belong to me and these document can not validate this account because is not my signature there.

It is only fair that in accordance with section 1681 ( a ) ( 5 ) of the Fair Credit Reporting Act you delete this from my credit report and send me an updated copy.

response within two weeks from the date you receive this letter.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30044,Consent provided,Web,9/27/19,Closed with explanation,Yes,N/A,3388321
1/8/19,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"3434 3434 refuses to accurately calculate the number of qualifying payments I have made on my student loan toward Public Service Loan Forgiveness. I sent in my last public service Employment Certification Form in 34/34/3434 and now it's 34/34/3434 and 3434 3434 still has NOT calculated my qualifying payments accurately. 
As of the 34/34/3434 date, I have made 68 qualifying payments. 3434 has reported to me random numbers, all less than 68. In fact, just recently it lowered the number of payments I made without explanation, without documentation, without reason. 
That it takes 3434 3434  nearly a year to count up payments accurately is a terribly sad indictment on the competence of this agency and its representatives. It's time for Federal intervention.",,AES/PHEAA,TX,76134,Consent provided,Web,1/8/19,Closed with non-monetary relief,Yes,N/A,3119955
11/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33034,Other,Web,11/24/19,Closed with explanation,Yes,N/A,3448817
4/14/18,Mortgage,Conventional home mortgage,Trouble during payment process,,"The mortgage company ( Roundpoint Mortgageg ) misread the Flood Insurance coverage dates for my condo and incorrectly determined I did not not have coverage. They subsequently purchased coverage for my condo and the entire association and increased my monthly payment by {$1000.00}.

The coverage is in place via the Condo Association. I have sent the mortgage company the the Flood Insurance policy the condo association has with proof of coverage. They have acknowledged receipt of the 34/34/3434 page. I have called numerous times and explained the situation the insurance coverage purchased by the mortgage company be removed and my monthly payment be corrected. I have been told that they will correct the issue and it is still not fixed. Dates below : 34/34/3434 - I first called to ask why my payment increased. They stated I did not have flood insurance. I told them this was purchased via condo assoc, They told me to send copy of policy. 

34/34/3434 - Insurance Company sent me a confirmation that a copy of the policy had been sent to mortgage company via mail.

34/34/3434 - I emailed a copy of insurance policy to mortgage company. I also called mortgage company and they said I also needed to submit escrow waiver request. So I also emailed escrow waiver request on 34/34/3434.

34/34/3434 - I received an email confirmation from Mortgage company that they had received the copy of the insurance policy.

34/34/3434 - I called the customer service number and the rep said the account should be updated within 7 days. It was not.34/34/3434 - I called the customer service number and the rep again said the account would be updated in 7 days. It is still not fixed. 


It has been over 45 days since I first contacted them and nothing has been resolved. This was their error to begin with.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,RoundPoint Mortgage Servicing Corporation,IL,60034,Consent provided,Web,4/14/18,Closed with explanation,Yes,N/A,2875337
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"I have written the following companies and I have not yet to receive any type of response. Im requesting to get these items removed because I did authorize these companies to pull my credit. Its going on 60 days since I write these companies. I requesting that these inquiries be deleted from my credit file/ all credit report/ credit ( Transunion, 3434 and 3434 ). Here  are the following companies : 3434 3434 3434 on 34/34/3434 3434 on 34/34/3434 ; 3434 3434 3434 3434 34/34/3434 3434 3434 on 34/34/3434 3434 3434 3434 34/34/3434 3434 3434 3434   3434 3434 on 34/34/3434 3434/3434-3434 3434 on 34/34/3434 ; 3434 3434 3434 3434 on 34/34/3434 ; 3434 3434  3434 3434 3434 on 34/34/3434 ; 3434 3434 3434 3434 on 34/34/3434 ; 3434 3434 3434 3434 on 3434 ; 3434 3434 3434 on 34/34/3434, 34/34/3434 ; 3434 3434   3434 3434 on 34/34/3434 ; 34/34/3434, 34/34/3434, 34/34/3434 3434 / 3434 on 34/34/3434, 34/34/3434 and 34/34/3434. ; 3434",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,34934,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3380110
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,I would like too see is if some of the old hard inquiries could be removed from my credit report,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77334,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3380039
10/26/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Public record information inaccurate,"3434 sold this information to the credit bureaus, Reporting public records when courts itself do not furnish any of this information! This is illegal so remove it or verify it with the court system. If no proof found, therefore it must be deleted. 

Chapter 3434 Bankruptcy Case Number : 3434",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NV,89134,Consent provided,Web,10/26/19,Closed with explanation,Yes,N/A,3418405
4/1/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,11423,Consent not provided,Web,4/1/19,Closed with explanation,Yes,N/A,3197931
10/9/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"34/34/3434 3434 3434 3434 3434 3434 3434 # 3434 3434, NC 3434 To : Equifax/3434/3434 & Attorney General/Consumer Finance/3434. 

RE : Request to Block Unauthorized Collection Accounts and Inquiries from Credit Report under FCRA 605B Again, I am in receipt of a credit file that indicates more fraudulent activity, in the form of Collection Agencies demanding that I pay them monies for accounts that I have never engaged in setting up! Also, there are credit account inquiries on my reports that shows applications for credit that I have not engaged in and should be immediately removed without prejudice! 

I am a victim of identity theft. The information listed below, which appears on my credit report, is the result of identity theft in 3434 The affected accounts are listed below. 

3434 3434 3434 3434 ACCT : 3434 3434 : {$650.00} Also, the following unauthorized Credit Inquiries will be removed immediately without prejudice : 3434 3434 3434, 3434 3434 3434 3434 3434 3434, 3434 3434   3434  34/34/3434 3434 3434/3434 34/34/3434 3434 3434 3434 3434, 3434 3434 3434/3434 FOR 34/34/3434 3434 34/34/3434 3434 3434 3434  34/34/3434 3434/3434  3434 34/34/3434 3434/3434 34/34/3434 I have enclosed my FTC Identity Theft Report showing the fraudulent items. 
I have continuously been in contact with Equifax, 3434, and 3434 via the CFPB. Investigations have been continuously, with previous verdicts not in my favor from 3434, Equifax and 3434, However, Equifax ( which is the Bureau that previously leaked millions on Consumers information and was the sole target of one of the largest data breaches in history ), has not complied and WILL NOT comply with this request. 3434 and 3434  all seem to gloss over my request with pleasure. 
This is again a demand to remove such information from the report in question. 
Please block this information from my credit report, as directed by section 605B of  the Fair Credit Reporting Act, and notify all furnishers of this information. 


I appreciate your prompt attention to this matter, and await your reply. 
Sincerely, 3434 3434 3434 Enclosures : 34/34/3434",,"EQUIFAX, INC.",NC,28215,Consent provided,Web,10/9/19,Closed with explanation,Yes,N/A,3400576
2/20/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"The following events occurred over the last 17 years which I believe led to the my identity theft. In 3434 I lost my social security card, in the year 3434 I was affected by the 3434 data breach, 3434 I was affect by the 3434 3434 security breach on my account for my children, 3434 I lost my wallet which included my state issued drivers license and other information and I lost my social in the year 3434 as well. I believe the above events led to thieves using my identity to open the accounts reported.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NC,,Consent provided,Web,2/20/19,Closed with non-monetary relief,Yes,N/A,3157859
10/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,The credit bureaus are reporting inaccurate/outdated/incomplete personal information.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30334,Consent provided,Web,10/24/19,Closed with explanation,Yes,N/A,3416227
6/17/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,90505,Consent not provided,Web,6/17/19,Closed with explanation,Yes,N/A,3276937
10/1/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"3434 and Transunion are incorrectly reporting me as an Authorized User on the 3434  3434 partial account number ****3434. ( Please see page attached from my credit report. ) I called the bank and let them know that I did not give permission to be added as an Authorized User. They removed me as an Authorized User on 3434. I have contacted the bureaus to fix this issue however, I have not been successful. This negative reporting is harming my credit score and this line item needs to be removed from my credit report.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,65734,Consent provided,Web,10/1/19,Closed with non-monetary relief,Yes,N/A,3391552
10/2/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"3434 # 3434 is reporting lates on mine and my husband 's joint account that I should not have. We had this on auto-pay and never received any statements for it. We changed our address and had a forwarding address so there was no reason for us not to get these. Our mortgage went up and we never received notice or a phone call so we did not know to make higher payments, again this was on auto pay and we did not know the payment changed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",UT,84134,Consent provided,Web,10/2/19,Closed with explanation,Yes,N/A,3393060
11/23/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,95628,Consent not provided,Web,11/23/19,Closed with explanation,Yes,N/A,3448451
8/12/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,90723,N/A,Fax,8/12/19,Closed with explanation,Yes,N/A,3337124
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33534,Other,Web,9/19/19,Closed with explanation,Yes,N/A,3380462
5/7/19,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Convergent Resources, Inc.",IN,46234,Consent not provided,Web,5/7/19,Closed with explanation,Yes,N/A,3234945
5/14/19,Debt collection,I do not know,False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,FL,33308,Consent not provided,Web,5/14/19,Closed with explanation,Yes,N/A,3241562
11/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33034,Other,Web,11/24/19,Closed with explanation,Yes,N/A,3448558
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Contacted 6 times regarding incorrect reporting. I have never received verification of account. Disputes just marked as closed without verification or correct updating.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WI,,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379971
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"I have a late payment showing on my credit report that doesn't below to me. 3434   3434 authorized User account 3434. This is a closed account that I am not financially responsible for please remove the negative item immediately. 
My name is 3434 3434 SS 3434 DOB 3434 please remove the late payment from my credit report. I am no longer on that account!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,43234,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379754
1/17/19,Mortgage,Conventional home mortgage,Trouble during payment process,,"I have been trying to get my Private Mortgage Insurance Removed from my mortgage since 34/34/3434 when my mortgage dropped below 80 % loan to value. Last year my mortgage was sold from 3434 3434  ( Under mortgage # 3434 ) to Ditech Mortgage ( account # 3434 ). I reached out to Ditech via a email ( after being told to do so via phone representative ) request to remove my PMI on mortgage on 34/34/3434 and received no response at all from them, I even checked my junk box and nothing was there. My mortgage papers that I signed state an "" Automatic Termination of PMI '' that states once my loan is below 78 % loan to value PMI will automatically terminate ( I have attached this document ). I reached out again today on 34/34/3434 to make this request via phone and was told initially to send the request that I already sent it too. I asked to speak with a supervisor and after being put on hold for about 30 minutes, I finally spoke to one. They told me that my loan to value must be under 70 % loan to value and that was their policy. After reading this document to the supervisor, I was told that "" they don't have that document on file ''. She ( 3434 3434 ) sent me a link to send her the form I have. I did so and just told me that I'll be hearing from them in 7-10 business days. Given their past history, I highly doubt that I will hear from them. I did mention to the supervisor and ask her why they weren't staying compliant to the homeowners protection act and she said nothing. From my understand this act requires mortgage companies to drop off PMI once loans are below 78 % LTV and the loan is current. I qualify for both of those items and don't understand why this is such a difficult task.",Company believes complaint represents an opportunity for improvement to better serve consumers,Ditech Financial LLC,TX,78134,Consent provided,Web,1/17/19,Closed with explanation,Yes,N/A,3126960
4/11/19,Debt collection,Medical debt,Written notification about debt,Didn't receive enough information to verify debt,,,"CMRE Financial Services, Inc.",CA,92592,Consent not provided,Web,4/11/19,Closed with explanation,Yes,N/A,3209665
3/31/19,Debt collection,Other debt,Attempts to collect debt not owed,Debt was result of identity theft,,,"Collection Information Bureau, Inc.",FL,32117,Consent not provided,Web,3/31/19,Closed with explanation,Yes,N/A,3196937
4/1/19,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,"Northstar Location Services, LLC",NY,11236,N/A,Postal mail,4/1/19,Closed with explanation,Yes,N/A,3197389
11/24/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33034,Other,Web,11/24/19,Closed with explanation,Yes,N/A,3448556
8/12/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77034,Consent not provided,Web,8/13/19,Closed with explanation,Yes,N/A,3338325
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Public record information inaccurate,"Have disputed this reporting with all 3 bureaus, 3434, Tran Union and 3434   after verifying with Us Bankruptcy Court 3434 that they do not report bankruptcies to the credit bureaus. Contact was made 6 times in 2019, with no verification from the bureaus and they have not removed the public information of bankruptcy.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WI,,Consent provided,Web,9/19/19,Closed with explanation,Yes,N/A,3379992
3/26/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,,"Colony Brands, Inc.",GA,30078,Consent not provided,Web,3/26/19,Closed with explanation,No,N/A,3191715
11/28/18,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"In 34/34/3434 I obtained a home mortgage loan with 3434 3434 3434 3434 ( 3434 ). A credit report inquiry by 3434 revealed one derogatory line on my credit report ( Item 29 3434  : see attached ) that was incorrectly still present in my record despite the fact that this debt was satisfied ( paid off ) and signed off by the County Judge ( Order of dismissal with Prejudice ) one year prior ( 34/34/3434 Court Order : see attached ). 
I attempted to dispute and resolve this issue directly with the Credit Reporting Agencies with no success. 
I am about to apply for a new home mortgage loan and before I do that I would like to ensure that this derogatory line-item is permanently removed from my file with all 3 major credit reporting agencies. 
I am reaching out to CFPB to help me solve satisfactorily this issue. 

Thank you. 
3434 3434, Consumer",,"EQUIFAX, INC.",IN,47634,Consent provided,Web,11/28/18,Closed with explanation,Yes,N/A,3085700
4/17/19,Checking or savings account,Other banking product or service,Managing an account,Cashing a check,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,,,N/A,Phone,4/17/19,Closed with explanation,Yes,N/A,3215291
9/19/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33034,Other,Web,9/19/19,Closed with explanation,Yes,N/A,3380365
2/14/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,,"EQUIFAX, INC.",MS,39501,N/A,Postal mail,2/14/19,Closed with explanation,Yes,N/A,3152422
2/16/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"On 34/34/3434 I received a letter from the IRS stating my identity may have been compromised. My name is 3434 3434 and I was 3434 yrs old at the time and a college student. My mom & I sat down as I returned from college and pulled my credit report. Discovered after pulling the Free Annual Credit Report that another person, 3434 3434  3434, and a car loan & credit card that were not mine were on my credit report. It should be noted it was only on 3434. We contacted 3434 & Wells Fargo bank to report the fraudulent accounts. They did confirm it was my SS # on file but with someone elses name, DOB, and address. We filled out fraud forms, send police report number, and copies of credit reports. On 34/34/3434 & 34/34/3434 I received letters from both Wells Fargo & 3434 stating it was discovered to be identity theft and they would have the 3 credit bureaus remove from my credit file. I also placed a freeze on my credit files. 

On 34/34/3434 I received a few voicemails from SS office stating my identity may have been compromised yet again. I pulled credit reports again and was shocked to see 3434  is reporting my file as 3434 3434 3434, his DOB, Addresses, 3434 3434 is running inquiries ( I dont have ), Wells Fargo credit card is showing closed as of 34/34/3434, last payment 34/34/3434, shows consumer disputes, and last reported 34/34/3434. None of this is mine and was to be removed. 

This person is clearly using my SS # according to 3434 & Wells Fargo. 3434 did their job and removed it for Fraud. Wells Fargo has not. How did a large national bank such as Wells Fargo allow someone to open a credit card in my name without the proper verification. Clearly the other persons name and DOB ( 34/34/3434 ) does not match my SS #. Where is the verification on that? They allowed someone to use falsified documents and did not follow verification procedures. I am only 3434 yrs old and have been a victim of identity theft by 2 large companies. Please help me with getting this resolved so myself and others never have this happen again.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,CA,95634,Consent provided,Web,2/16/19,Closed with non-monetary relief,Yes,N/A,3154014
3/29/19,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,30132,Consent not provided,Web,3/29/19,Closed with explanation,Yes,N/A,3195630
4/15/20,Mortgage,FHA mortgage,Struggling to pay mortgage,,"I am in the 3434  industry and have been deeply affected by the Coronavirus, likely more than most. I am a 3434 3434 as a 3434 34343434 and 3434. I have lost 4 months of work and have even been rescheduling in the Fall and losing my remaining good Saturdays for the year. So I will not be making up that money. I filed for unemployment, but because I am 3434 and work in 2 states ( 3434 3434 area strattles state line ), I was told I had to call in. The call line sends you to a machine which hangs up on you after directing you back online because they are swamped. So I said I only work in Kansas in order to submit it, but no response or check yet. 

We have 3434  kids and a new home we bought in 3434 of 2019. Our mortgage company is Mr. Cooper. We have missed 2 payments of roughly {$1800.00} each, 3434 and 3434, so far. I have tried calling, but they also have an automated message directing you back to online and hanging up afterward. But then I discover the only option is a forbearance, admittedly warning I may be disqualified from any stimulus or other aid if I fill it out. On top of that, they say quite sternly 3434 and repeated bluntly by the CEO in a video ) that it is NOT an extension of the life of the loan, but rather a normal extension, requiring a lump sum at the end of the 90 days. As if anyone is saving money right now and able to pay MORE when this nightmare is over! Thats illogical. It is mentioned that payment plans could be made, but this is not what you agree to in the application and it is so arbitrary it is unknown exactly what they could force you to do after agreeing to this form. This seems unwise to enter into. So for these terms, and the threat of not getting aid, I chose not to fill this out. I did however email them explaining this. I have not heard back and they are still not taking calls. 

We can not lose our home. And we can not pay a higher monthly payment. We are scared and dont know how to fix this. Meanwhile, the days are passing by and notices are flooding in. We have been able to pay all our other bills, but that will end this month if unemployment or a stimulus doesnt come soon. 

If anyone can encourage mortgage companies to extend the life of loans, it would help us immensely. I can only imagine how many people are being hurt by filling out this forbearance, which essentially gives zero aid, and only allows for a little time to then make their account current all at once, without any backpay to do so. It seems dishonest and taking advantage of many people forced to choose this only option. They should be held accountable for making things worse on hurting people everywhere.",,NATIONSTAR MORTGAGE,KS,,Consent provided,Web,4/15/20,Closed with explanation,Yes,N/A,3607061
4/11/19,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,,,AMERICAN EXPRESS COMPANY,NC,27028,N/A,Referral,4/11/19,Closed with non-monetary relief,Yes,N/A,3209145
6/29/20,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,,Experian Information Solutions Inc.,FL,33056,,Web,6/29/20,In progress,Yes,N/A,3721791
